Numéro du poste,Circonscription,Commune,Etablissement,RNE,Nature,Spécialité,Nb. Cl.,Dont Cl. Spé.,Nb supports mis au mouvement,Nb supports inaccessibles,Total,Dont nb supports vacants,Coords
19208,COULOMMIERS,BELLOT,CASIMIR CEPEDE                ,0770805G,ECEL - Enseignant classe élémentaire,G0000 - Sans spécialité,0,0,1,0,1,0,"(48.8562161, 3.3194733)"
19209,COULOMMIERS,BELLOT,CASIMIR CEPEDE                ,0770805G,ECMA - Enseignant classe préélémentaire,G0000 - Sans spécialité,0,0,1,0,1,0,"(48.8562161, 3.3194733)"
19237,DAMMARIE-LES-LYS,BERNAY VILBERT,DU PONT DE LA PLANCHE         ,0770828G,DE - Directeur d'école,D0000 - Direction,2,0,1,0,1,0,"(48.6772637, 2.9307009)"
19238,DAMMARIE-LES-LYS,BERNAY VILBERT,DU PONT DE LA PLANCHE         ,0770828G,ECMA - Enseignant classe préélémentaire,G0000 - Sans spécialité,0,0,1,0,1,0,"(48.6772637, 2.9307009)"
19361,PROVINS,BETON BAZOCHES,FARABEUF                      ,0770895E,DE - Directeur d'école,D0000 - Direction,2,0,1,0,1,0,"(48.7008498, 3.2465364)"
19362,PROVINS,BETON BAZOCHES,FARABEUF                      ,0770895E,ECEL - Enseignant classe élémentaire,G0000 - Sans spécialité,0,0,1,0,1,0,"(48.7008498, 3.2465364)"
211335,PROVINS,BETON BAZOCHES,FARABEUF                      ,0770895E,TR - Titulaire remplaçant,G0000 - Sans spécialité,0,0,1,0,1,0,"(48.7008498, 3.2465364)"
20778,PROVINS,BEZALLES,,0772072J,DE - Directeur d'école,D0000 - Direction,4,0,1,0,1,0,"(48.6773826, 3.2424557)"
20779,PROVINS,BEZALLES,,0772072J,ECMA - Enseignant classe préélémentaire,G0000 - Sans spécialité,0,0,3,0,3,1,"(48.6773826, 3.2424557)"
211336,PROVINS,BEZALLES,,0772072J,TR - Titulaire remplaçant,G0000 - Sans spécialité,0,0,1,0,1,0,"(48.6773826, 3.2424557)"
18067,MELUN,BLANDY,DE BLANDY                     ,0770155A,DE - Directeur d'école,D0000 - Direction,2,0,1,0,1,0,"(48.5674007, 2.7824287)"
18069,MELUN,BLANDY,DE BLANDY                     ,0770155A,ECMA - Enseignant classe préélémentaire,G0000 - Sans spécialité,0,0,1,0,1,0,"(48.5674007, 2.7824287)"
211337,MELUN,BLANDY,DE BLANDY                     ,0770155A,TR - Titulaire remplaçant,G0000 - Sans spécialité,0,0,1,0,1,0,"(48.5674007, 2.7824287)"
21070,NEMOURS,BLENNES,ANTOINE DE SAINT-EXUPERY      ,0772279J,DE - Directeur d'école,D0000 - Direction,2,0,1,0,1,0,"(48.2555011, 3.0165035)"
21072,NEMOURS,BLENNES,ANTOINE DE SAINT-EXUPERY      ,0772279J,ECMA - Enseignant classe préélémentaire,G0000 - Sans spécialité,0,0,1,0,1,0,"(48.2555011, 3.0165035)"
211338,NEMOURS,BLENNES,ANTOINE DE SAINT-EXUPERY      ,0772279J,TR - Titulaire remplaçant,G0000 - Sans spécialité,0,0,1,0,1,0,"(48.2555011, 3.0165035)"
18484,SEINE ET LOING,BOIS LE ROI,OLIVIER METRA                 ,0770377S,DE - Directeur d'école,D0000 - Direction,9,0,1,0,1,0,"(48.4711489, 2.6996764)"
20273,SEINE ET LOING,BOIS LE ROI,ROBERT LESOURD                ,0771653D,DE - Directeur d'école,D0000 - Direction,7,0,1,0,1,0,"(48.4734694, 2.7021573)"
21162,SEINE ET LOING,BOIS LE ROI,LES VIARONS                   ,0772437F,DE - Directeur d'école,D0000 - Direction,6,0,1,0,1,0,"(48.86276, 1.34378)"
18485,SEINE ET LOING,BOIS LE ROI,OLIVIER METRA                 ,0770377S,ECEL - Enseignant classe élémentaire,G0000 - Sans spécialité,0,0,6,2,8,0,"(48.4711489, 2.6996764)"
21163,SEINE ET LOING,BOIS LE ROI,LES VIARONS                   ,0772437F,ECEL - Enseignant classe élémentaire,G0000 - Sans spécialité,0,0,5,0,5,0,"(48.86276, 1.34378)"
20274,SEINE ET LOING,BOIS LE ROI,ROBERT LESOURD                ,0771653D,ECMA - Enseignant classe préélémentaire,G0000 - Sans spécialité,0,0,6,0,6,0,"(48.4734694, 2.7021573)"
211339,SEINE ET LOING,BOIS LE ROI,ROBERT LESOURD                ,0771653D,TR - Titulaire remplaçant,G0000 - Sans spécialité,0,0,1,0,1,0,"(48.4734694, 2.7021573)"
211340,SEINE ET LOING,BOIS LE ROI,LES VIARONS                   ,0772437F,TR - Titulaire remplaçant,G0000 - Sans spécialité,0,0,1,0,1,0,"(48.86276, 1.34378)"
18486,PEI,BOIS LE ROI,MAISON ENFANTS MARCEL MARTIN  ,0770379U,UEE - Unité d'enseignement élémentaire,G0176 - Ulis ue troubles fonctions cognitives,0,0,2,0,2,1,"(48.86276, 1.34378)"
17927,PEI,BOIS LE ROI,DENECOURT                     ,0770002J,ULCG - Ulis collège,G0176 - Ulis ue troubles fonctions cognitives,0,0,1,0,1,0,"(48.4757322, 2.7019826)"
